Function,Building,Office,Office Number,Additional information
Student Concerns,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
Student Success Center,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Academic Advising,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Tutoring,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Mentoring,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Supplemental instructions,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Summer Bridge Program,Nursing & General Education Building,Suite 100,757-823-8507,https://www.nsu.edu/Academics/Academic-Resources/PLSSSC
Global learning and international programs,Nursing & General Education Building,Suite 225,757-823-2346,https://www.nsu.edu/Academics/International-Programs
Innovation center,520 E. Main Street,23510,757-917-7884,https://www.nsu.edu/nsuric
Sponsored Programs,McDemmond Center for Applied Research,Suite 601,757-823-9053,https://www.nsu.edu/Academics/Faculty-and-Academic-Divisions/Schools-and-Colleges/School-of-Graduate-Studies-and-Research/Sponsored-Programs
Commuter Lounge,Student Center,Room 315,757-823-8200,https://www.nsu.edu/studentcenter/commuter-lounge
HRT GOPASS,Student Center,Suite 323,757-823-8200,https://www.nsu.edu/studentcenter/hrtgopass
Recreational and Intramural sports,Student Center,Suite 323,757-823-8200,https://www.nsu.edu/studentcenter/intramural-sports
Game Zone,Student Center,Suite 207,757-823-8200,https://www.nsu.edu/studentcenter/spartan-game-zone
Fitness and Wellness Training Zone,Student Center,Suite 223,757-823-8200,https://www.nsu.edu/studentcenter/spartan-training-zone
Bowling,Student Center,Suite 323,757-823-8200,https://www.nsu.edu/studentcenter/spartan-lanes
International Student Services,James A. Bowser Building,Suite 121,757-823-8325,https://www.nsu.edu/Campus-Life/Services-and-Resources/Disability-Services
Students with disabilities,James A. Bowser Building,Suite 121,757-823-8325,https://www.nsu.edu/Campus-Life/Services-and-Resources/Disability-Services
Sensitive technology laboratory,Lyman Beecher Brooks Library,Suite 1023,757-823-2603,https://www.nsu.edu/oasis/labs
Food Pantry program,Student Services Center,Suite 307,757-823-8407,https://www.nsu.edu/Campus-Life/Services-and-Resources/Campus-Life-and-Diversity/Spartan-Food-Pantry-Program
Career services,Student Services Center,Suite 318,757-823-8462,https://www.nsu.edu/Campus-Life/Services-and-Resources/Career-Services
Counseling services,Student Services Center,Suite 312,757-823-8173,https://www.nsu.edu/Campus-Life/Services-and-Resources/Counseling-Center
Student support services,Bowser Building,Room 112,757-823-8677,https://www.nsu.edu/Campus-Life/Services-and-Resources/Student-Support-Services/About
